player,atp_rank,atp_points,hard_win_pct,recent_form_pct,uso_win_pct,avg_aces,avg_bp_save,avg_bp_conv,uso_score,power_rank,win_title,reach_final,reach_semis,reach_qtrs
Luca Van Assche,98.0,633.0,0.3611111111111111,0.3,0.0,5.461538461538462,0.6208647561588738,0.43176865869173564,0.27377559025259174,197,0.0,0.0,0.003,0.01
Roger Federer,999.0,0.0,0.8542713567839196,0.7,0.8095238095238095,8.676470588235293,0.6759247783311954,0.4692954302319627,0.5322574210527092,45,,,,
Juan Martin Del Potro,999.0,0.0,0.753968253968254,0.6,0.8333333333333334,8.74736842105263,0.6356215213358071,0.48560784244994776,0.48955353168135124,53,,,,
Rafael Nadal,999.0,0.0,0.7611336032388664,0.5,0.8709677419354839,4.547872340425532,0.69828234014981,0.4872675809367645,0.48020605815436784,54,,,,
Marcelo Arevalo,999.0,0.0,0.875,0.5,0.5,6.190476190476191,0.6537445887445887,0.5466864762917394,0.4537715532518164,60,,,,
David Goffin,999.0,0.0,0.5886075949367089,0.7,0.64,6.258064516129032,0.6333499443076815,0.49112206811798725,0.43937549935546066,62,,,,
Kei Nishikori,999.0,0.0,0.6794871794871795,0.5,0.7368421052631579,4.2578616352201255,0.6413293865758654,0.49483971317748804,0.4372065656489363,63,,,,
Nick Kyrgios,999.0,0.0,0.6666666666666666,0.6,0.5882352941176471,15.385714285714286,0.7566645383159145,0.48630592499614933,0.43705048394991686,64,,,,
Grigor Dimitrov,999.0,0.0,0.6440217391304348,0.6,0.6551724137931034,7.8354430379746836,0.674841371235602,0.47016175549227707,0.43653145318796815,65,,,,
Gael Monfils,999.0,0.0,0.657243816254417,0.5,0.6666666666666666,8.623655913978494,0.6583647172932887,0.481380124271865,0.4212981961418619,72,,,,
Rafael Jodar,999.0,0.0,0.667,0.6,0.5,5.5,0.65,0.39,0.41375,74,,,,
Milos Raonic,999.0,0.0,0.6497695852534562,0.5,0.5833333333333334,15.929078014184396,0.7531091077207582,0.4505781916496202,0.410126761281883,76,,,,
