player,hard_wins,hard_losses,hard_total,hard_win_pct,avg_aces,avg_df,avg_bp_conv,avg_bp_save,avg_1st_pct,recent_form_pct,uso_wins,uso_win_pct,atp_rank,atp_points,rank_score,uso_score,power_rank
Holger Rune,86.0,50.0,136.0,0.6323529411764706,6.337209302325581,2.453488372093023,0.4915216809334456,0.7095935220935221,0.6292765050700092,0.7,2.0,0.3333333333333333,64.0,860.0,0.5039370078740157,0.5593250978076708,37
Gabriel Diallo,11.0,12.0,23.0,0.4782608695652174,9.454545454545455,2.272727272727273,0.48282828282828283,0.6666666666666666,0.6883866002772413,0.5,2.0,0.6666666666666666,54.0,935.0,0.5826771653543308,0.551843114472351,38
Tallon Griekspoor,60.0,63.0,123.0,0.4878048780487805,10.633333333333333,2.816666666666667,0.46744538985918294,0.6659024383482588,0.6486246366524704,0.5,3.0,0.42857142857142855,41.0,1150.0,0.6850393700787402,0.5484161362319034,39
Tomas Martin Etcheverry,23.0,33.0,56.0,0.4107142857142857,7.0,1.434782608695652,0.41762349968871704,0.7288410663410664,0.67748172791278,0.4,3.0,0.5,30.0,1510.0,0.7716535433070866,0.5464978627221866,40
Pablo Carreno Busta,152.0,106.0,258.0,0.5891472868217055,5.605263157894737,1.888157894736842,0.49625413065968305,0.6683678657943364,0.6498779904869986,0.5,19.0,0.6785714285714286,71.0,835.0,0.44881889763779526,0.5419493051051802,41
Botic Van De Zandschulp,64.0,61.0,125.0,0.512,7.40625,3.609375,0.485768667553207,0.6717781322620032,0.6503501093461201,0.4,8.0,0.6666666666666666,55.0,935.0,0.5748031496062992,0.5383182848726503,42
Jenson Brooksby,37.0,23.0,60.0,0.6166666666666667,3.7567567567567566,1.4054054054054055,0.49992346834452095,0.7007448433919022,0.6383825384994298,0.5,6.0,0.6,73.0,825.0,0.4330708661417323,0.5341213420960075,43
Jack Draper,55.0,33.0,88.0,0.625,8.581818181818182,2.7636363636363637,0.5308187682786613,0.7316875716875717,0.5955115066417002,0.8,10.0,0.7692307692307693,112.0,560.0,0.12598425196850394,0.5325552079734782,44
Roger Federer,170.0,29.0,199.0,0.8542713567839196,8.676470588235293,1.8705882352941177,0.4692954302319627,0.6759247783311954,0.6237011844524225,0.7,17.0,0.8095238095238095,999.0,0.0,0.0,0.5322574210527092,45
Alejandro Tabilo,25.0,28.0,53.0,0.4716981132075472,8.08,2.2,0.4898043068043068,0.5806590752242926,0.6393350355042438,0.4,1.0,0.3333333333333333,31.0,1428.0,0.7637795275590551,0.5305815556710333,46
Adrian Mannarino,185.0,180.0,365.0,0.5068493150684932,5.935135135135135,2.016216216216216,0.5134945257747368,0.6536600960932512,0.6021118789732489,0.4,9.0,0.47368421052631576,46.0,1031.0,0.6456692913385826,0.5298234788410447,47
Miomir Kecmanovic,91.0,94.0,185.0,0.4918918918918919,5.054945054945055,1.8681318681318682,0.48031609810859976,0.6600052902937518,0.6107780705273947,0.5,4.0,0.4,49.0,980.0,0.6220472440944882,0.526603215621437,48
Nuno Borges,23.0,29.0,52.0,0.4423076923076923,8.391304347826088,3.3043478260869565,0.41574440052700923,0.6948412698412698,0.6462143992357002,0.4,4.0,0.5714285714285714,50.0,970.0,0.6141732283464567,0.5160724608135597,49
Stefanos Tsitsipas,208.0,112.0,320.0,0.65,7.860576923076923,1.8894230769230769,0.46522219926867664,0.6911453511931981,0.6253410878743916,0.6,6.0,0.46153846153846156,84.0,740.0,0.3464566929133859,0.5134861546278788,50
Corentin Moutet,32.0,43.0,75.0,0.4266666666666667,2.84375,2.34375,0.47736014791452097,0.6052973935786435,0.69329194136247,0.3,6.0,0.46153846153846156,36.0,1283.0,0.7244094488188977,0.5073531476177634,51
Fabian Marozsan,24.0,23.0,47.0,0.5106382978723404,5.541666666666667,2.25,0.45933885354841236,0.6048701298701298,0.6783781133142566,0.4,2.0,0.5,61.0,895.0,0.5275590551181102,0.4941377401744453,52
Juan Martin Del Potro,95.0,31.0,126.0,0.753968253968254,8.74736842105263,1.9894736842105263,0.48560784244994776,0.6356215213358071,0.6473449696830819,0.6,15.0,0.8333333333333334,999.0,0.0,0.0,0.48955353168135124,53
Rafael Nadal,188.0,59.0,247.0,0.7611336032388664,4.547872340425532,2.25531914893617,0.4872675809367645,0.69828234014981,0.6564070229439657,0.5,27.0,0.8709677419354839,999.0,0.0,0.0,0.48020605815436784,54
Kamil Majchrzak,23.0,25.0,48.0,0.4791666666666667,5.6521739130434785,2.217391304347826,0.5359276912345966,0.7495293847566575,0.6381539219510767,0.6,2.0,0.3333333333333333,76.0,782.0,0.40944881889763785,0.4768991661355207,55
Yannick Hanfmann,15.0,25.0,40.0,0.375,7.6,1.4666666666666666,0.45735449735449735,0.7135042735042736,0.6709079669678258,0.8,0.0,0.0,59.0,906.0,0.5433070866141732,0.47528506452719055,56
Stan Wawrinka,163.0,95.0,258.0,0.6317829457364341,9.14723926380368,2.165644171779141,0.44114806787990224,0.7136692651575005,0.5792194375512223,0.5,20.0,0.7692307692307693,110.0,563.0,0.1417322834645669,0.4735909035099641,57
Alexei Popyrin,68.0,74.0,142.0,0.4788732394366197,10.294117647058824,3.5441176470588234,0.4952358878495242,0.7184224725891393,0.6150692872123137,0.5,8.0,0.6153846153846154,90.0,680.0,0.2992125984251969,0.4624726997163395,58
Hubert Hurkacz,149.0,96.0,245.0,0.6081632653061224,12.302013422818792,1.8993288590604027,0.4537235552533618,0.7091690394625618,0.6459028986277408,0.5,6.0,0.46153846153846156,96.0,640.0,0.25196850393700787,0.45500676647419835,59
Marcelo Arevalo,21.0,3.0,24.0,0.875,6.190476190476191,2.619047619047619,0.5466864762917394,0.6537445887445887,0.6169593539993428,0.5,,0.5,999.0,0.0,0.0,0.4537715532518164,60
Roberto Bautista Agut,228.0,133.0,361.0,0.631578947368421,3.8596491228070176,1.8245614035087718,0.49959386890094076,0.6637965229665155,0.6489997358877031,0.6,12.0,0.5714285714285714,116.0,542.0,0.09448818897637801,0.45012499884267715,61
David Goffin,186.0,130.0,316.0,0.5886075949367089,6.258064516129032,2.8870967741935485,0.49112206811798725,0.6333499443076815,0.6049759975978065,0.7,16.0,0.64,999.0,0.0,0.0,0.43937549935546066,62
Kei Nishikori,159.0,75.0,234.0,0.6794871794871795,4.2578616352201255,2.169811320754717,0.49483971317748804,0.6413293865758654,0.6094401226352908,0.5,14.0,0.7368421052631579,999.0,0.0,0.0,0.4372065656489363,63
Nick Kyrgios,140.0,70.0,210.0,0.6666666666666666,15.385714285714286,3.0285714285714285,0.48630592499614933,0.7566645383159145,0.6538513895380431,0.6,10.0,0.5882352941176471,999.0,0.0,0.0,0.43705048394991686,64
Grigor Dimitrov,237.0,131.0,368.0,0.6440217391304348,7.8354430379746836,3.3248945147679323,0.47016175549227707,0.674841371235602,0.6272391440331678,0.6,19.0,0.6551724137931034,999.0,0.0,0.0,0.43653145318796815,65
Jan Lennard Struff,110.0,129.0,239.0,0.4602510460251046,10.572727272727272,3.0272727272727273,0.45745268868156364,0.6786379742262095,0.5720141618845572,0.4,5.0,0.4166666666666667,77.0,779.0,0.40157480314960625,0.43483973559654665,66
Marcos Giron,72.0,77.0,149.0,0.48322147651006714,5.583333333333333,1.4305555555555556,0.4821236090324304,0.7251263927045177,0.6184319043714978,0.6,2.0,0.25,88.0,705.0,0.31496062992125984,0.4331560581907421,67
Yibing Wu,17.0,17.0,34.0,0.5,6.0,2.6470588235294117,0.4252127086879409,0.6526377217553688,0.6165523496615327,0.5,3.0,0.6,101.0,626.0,0.21259842519685035,0.4326720490812206,68
Arthur Cazaux,9.0,11.0,20.0,0.45,10.222222222222221,1.8888888888888888,0.5074675324675325,0.6187499999999999,0.5801906507974383,0.5,1.0,0.3333333333333333,81.0,757.0,0.3700787401574803,0.42983449867062073,69
Reilly Opelka,76.0,65.0,141.0,0.5390070921985816,20.210526315789473,2.5,0.4274430816097483,0.755894004984914,0.6530953121748525,0.3,4.0,0.5,86.0,718.0,0.3307086614173228,0.42813122580457535,70
Benjamin Bonzi,32.0,39.0,71.0,0.4507042253521127,8.1875,2.03125,0.43312989094239096,0.654727165838277,0.6233987444474334,0.5,3.0,0.6,99.0,629.0,0.22834645669291342,0.4255728461849355,71
Gael Monfils,186.0,97.0,283.0,0.657243816254417,8.623655913978494,3.327956989247312,0.481380124271865,0.6583647172932887,0.6317313317059474,0.5,16.0,0.6666666666666666,999.0,0.0,0.0,0.4212981961418619,72
Zachary Svajda,6.0,15.0,21.0,0.2857142857142857,5.666666666666667,1.8333333333333333,0.5125000000000001,0.6916666666666665,0.6559142150893853,0.5,1.0,0.2,62.0,875.0,0.5196850393700787,0.41754241657292834,73
Rafael Jodar,18.0,9.0,27.0,0.667,5.5,0.18,0.39,0.65,,0.6,0.0,0.5,999.0,0.0,0.0,0.41375,74
Rinky Hijikata,20.0,24.0,44.0,0.45454545454545453,6.0,3.4,0.48872791080608413,0.7164959346209346,0.5867739158869767,0.5,4.0,0.5714285714285714,106.0,593.0,0.17322834645669294,0.41158034555900813,75
Milos Raonic,141.0,76.0,217.0,0.6497695852534562,15.929078014184396,3.382978723404255,0.4505781916496202,0.7531091077207582,0.6252613732765249,0.5,7.0,0.5833333333333334,999.0,0.0,0.0,0.410126761281883,76
David Ferrer,76.0,46.0,122.0,0.6229508196721312,2.736842105263158,2.8157894736842106,0.5021625487086013,0.6390241900956187,0.6163757929962158,0.6,4.0,0.5,999.0,0.0,0.0,0.4077970418582438,77
Lorenzo Sonego,69.0,85.0,154.0,0.44805194805194803,7.739130434782608,1.565217391304348,0.5012500784239914,0.7248463401005775,0.661340260744522,0.2,3.0,0.3,66.0,855.0,0.4881889763779528,0.4047745008526013,78
Andy Murray,173.0,84.0,257.0,0.6731517509727627,7.127167630057803,2.601156069364162,0.4768924337956358,0.63023548500111,0.599019668746146,0.4,12.0,0.631578947368421,999.0,0.0,0.0,0.39838117578829113,79
John Isner,171.0,123.0,294.0,0.5816326530612245,20.86549707602339,1.9473684210526316,0.4184994978408152,0.7628359671042598,0.6970184113356808,0.5,15.0,0.625,999.0,0.0,0.0,0.39822493651255986,80
Borna Gojo,19.0,18.0,37.0,0.5135135135135135,9.789473684210526,2.3157894736842106,0.43986090448938747,0.7061011904761905,0.6835037194489596,0.5,3.0,0.75,999.0,0.0,0.0,0.39817648312665727,81
Sebastian Baez,20.0,44.0,64.0,0.3125,3.65,1.65,0.4913900029708853,0.5903564271985324,0.7280080436458334,0.1,3.0,0.5,56.0,935.0,0.5669291338582677,0.39729106166595124,82
